FID,res_bldg_cnt,res_gwh,lmi_bldg_cnt,lmi_gwh,lmi_pct_gwh,lmi_pct_bldg,name,state_abbr,gid
pv_rooftop_county_lmi_pct_gwh.2392,866.0001,9.2989,299.6075,3.2682,35.15,34.6,Hanson,SD,2392
pv_rooftop_county_lmi_pct_gwh.3010,7296.9999,80.5286,3111.7777,36.3185,45.1,42.64,Jackson,WV,3010
pv_rooftop_county_lmi_pct_gwh.1330,1750.9998,20.6012,612.7194,8.0956,39.3,34.99,Cook,MN,1330
pv_rooftop_county_lmi_pct_gwh.1633,124.0002,1.27,54.254,0.5557,43.76,43.75,Petroleum,MT,1633
pv_rooftop_county_lmi_pct_gwh.120,3155,40.7919,1566.1943,21.4441,52.57,49.64,Chicot,AR,120
pv_rooftop_county_lmi_pct_gwh.301,198.0002,2.748,111.3692,1.4995,54.57,56.25,San Juan,CO,301
pv_rooftop_county_lmi_pct_gwh.690,4554.0001,50.6701,1776.7762,20.7605,40.97,39.02,Washington,IL,690
pv_rooftop_county_lmi_pct_gwh.2747,539.0003,7.1062,215.9122,2.9376,41.34,40.06,Throckmorton,TX,2747
pv_rooftop_county_lmi_pct_gwh.140,5117.9994,63.6386,2273.4176,30.2201,47.49,44.42,Hempstead,AR,140
pv_rooftop_county_lmi_pct_gwh.2022,1117.0002,12.4106,498.712,5.8069,46.79,44.65,Nelson,ND,2022
pv_rooftop_county_lmi_pct_gwh.77,649.0003,4.6313,303.8149,2.2167,47.86,46.81,Hoonah-Angoon,AK,77
pv_rooftop_county_lmi_pct_gwh.1797,849,11.6541,324.824,4.4551,38.23,38.26,Catron,NM,1797
pv_rooftop_county_lmi_pct_gwh.169,15696.9999,206.8348,5957.0361,86.828,41.98,37.95,Pope,AR,169
pv_rooftop_county_lmi_pct_gwh.315,32139.0009,452.6467,9075.4789,161.1284,35.6,28.24,Tolland,CT,315
pv_rooftop_county_lmi_pct_gwh.3017,15935.9981,176.1569,6463.9906,77.3263,43.9,40.56,Marion,WV,3017
pv_rooftop_county_lmi_pct_gwh.316,26023.9986,386.8149,10694.3361,192.0446,49.65,41.09,Windham,CT,316
pv_rooftop_county_lmi_pct_gwh.739,11242.0001,140.209,4712.3752,64.0591,45.69,41.92,Knox,IN,739
pv_rooftop_county_lmi_pct_gwh.915,2132.0003,28.0919,857.0384,12.099,43.07,40.2,Ellsworth,KS,915
pv_rooftop_county_lmi_pct_gwh.1181,7096.998,78.6377,2803.4344,34.6821,44.1,39.5,Franklin,ME,1181
pv_rooftop_county_lmi_pct_gwh.1271,5090.9998,49.3109,2126.1218,20.9289,42.44,41.76,Kalkaska,MI,1271
